epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.1625,3.91955,0.61931,0.91336,1.51938,0.00332244,0.00332244,0.00332244
2,130.274,1.29224,0.70208,0.95668,0.96126,0.00652399,0.00652399,0.00652399
3,202.651,1.20446,0.53654,0.85044,1.71345,0.00959354,0.00959354,0.00959354
4,273.234,1.40836,0.59705,0.90271,1.42448,0.009406,0.009406,0.009406
5,346.635,1.20616,0.67909,0.92425,1.14674,0.009208,0.009208,0.009208
6,421.488,1.03962,0.67982,0.93417,1.14946,0.00901,0.00901,0.00901
7,498.4,0.95576,0.71612,0.94555,0.95895,0.008812,0.008812,0.008812
8,573,0.88419,0.70716,0.93877,0.99636,0.008614,0.008614,0.008614
9,647.463,0.82548,0.73935,0.95208,0.90575,0.008416,0.008416,0.008416
10,721.782,0.75171,0.73403,0.95305,0.92466,0.008218,0.008218,0.008218
11,802.703,0.70427,0.7546,0.96321,0.82679,0.00802,0.00802,0.00802
12,875.4,0.64551,0.74976,0.95765,0.85798,0.007822,0.007822,0.007822
13,960.843,0.60703,0.75823,0.96031,0.83304,0.007624,0.007624,0.007624
14,1065.81,0.55607,0.76549,0.95668,0.85816,0.007426,0.007426,0.007426
15,1142.74,0.54406,0.76888,0.95741,0.85189,0.007228,0.007228,0.007228
16,1214.95,0.51287,0.77444,0.95789,0.83108,0.00703,0.00703,0.00703
17,1303.99,0.48699,0.78122,0.96636,0.78215,0.006832,0.006832,0.006832
18,1363.67,0.44448,0.77323,0.9637,0.8149,0.006634,0.006634,0.006634
19,1418.57,0.4124,0.78896,0.96636,0.77841,0.006436,0.006436,0.006436
20,1476.55,0.39368,0.78558,0.96563,0.78169,0.006238,0.006238,0.006238
21,1530.39,0.37637,0.79889,0.96418,0.75905,0.00604,0.00604,0.00604
22,1586.24,0.34103,0.80227,0.96467,0.74439,0.005842,0.005842,0.005842
23,1642.21,0.33052,0.80034,0.96418,0.77437,0.005644,0.005644,0.005644
24,1697.68,0.31895,0.8001,0.96515,0.73989,0.005446,0.005446,0.005446
25,1752.44,0.30993,0.8001,0.96152,0.76026,0.005248,0.005248,0.005248
26,1808.28,0.28397,0.7955,0.96563,0.78147,0.00505,0.00505,0.00505
27,1855.66,0.25951,0.81075,0.96854,0.7166,0.004852,0.004852,0.004852
28,1903.99,0.25519,0.81559,0.96539,0.74982,0.004654,0.004654,0.004654
29,1952.38,0.233,0.81171,0.96684,0.72775,0.004456,0.004456,0.004456
30,2001.57,0.22772,0.8151,0.96805,0.72023,0.004258,0.004258,0.004258
31,2050.14,0.20495,0.81534,0.97314,0.71869,0.00406,0.00406,0.00406
32,6825.62,0.18833,0.81486,0.97193,0.7306,0.003862,0.003862,0.003862
33,6874.75,0.1683,0.81438,0.97047,0.72553,0.003664,0.003664,0.003664
34,6921.76,0.17406,0.82139,0.97168,0.71915,0.003466,0.003466,0.003466
35,6968.69,0.15945,0.81728,0.96999,0.72333,0.003268,0.003268,0.003268
36,7015.9,0.13645,0.81922,0.96636,0.71837,0.00307,0.00307,0.00307
37,7063.61,0.13018,0.81801,0.97047,0.73702,0.002872,0.002872,0.002872
38,7113.37,0.14035,0.81559,0.9712,0.72112,0.002674,0.002674,0.002674
39,7162.04,0.12237,0.81825,0.9712,0.72093,0.002476,0.002476,0.002476
40,7210.56,0.1206,0.8197,0.97193,0.71185,0.002278,0.002278,0.002278
41,7281.06,0.11332,0.82212,0.97362,0.71541,0.00208,0.00208,0.00208
42,7329.25,0.10878,0.82043,0.9741,0.71054,0.001882,0.001882,0.001882
43,7377.67,0.09847,0.82115,0.97314,0.71859,0.001684,0.001684,0.001684
44,7426.69,0.09604,0.81873,0.97241,0.71895,0.001486,0.001486,0.001486
45,7475.49,0.10018,0.81994,0.97241,0.73105,0.001288,0.001288,0.001288
46,7524,0.08625,0.82067,0.97096,0.7063,0.00109,0.00109,0.00109
47,7572.48,0.07591,0.82236,0.9712,0.71232,0.000892,0.000892,0.000892
48,7621.53,0.08484,0.82212,0.97193,0.71065,0.000694,0.000694,0.000694
49,7671.79,0.0809,0.82236,0.97265,0.72906,0.000496,0.000496,0.000496
50,7721.82,0.07452,0.82212,0.97241,0.7161,0.000298,0.000298,0.000298
