epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,186.307,0.19222,0.9657,1,0.08814,0.000548807,0.000548807,0.000548807
2,371.817,0.15069,0.88267,1,0.5335,0.0010826,0.0010826,0.0010826
3,566.312,0.21542,0.86823,1,0.41994,0.0015944,0.0015944,0.0015944
4,764.699,0.18667,0.9639,1,0.10797,0.00156798,0.00156798,0.00156798
5,953.896,0.16731,0.9287,1,0.22724,0.00153497,0.00153497,0.00153497
6,1151.43,0.15756,0.97112,1,0.06077,0.00150197,0.00150197,0.00150197
7,1350.39,0.13798,0.95397,1,0.12492,0.00146896,0.00146896,0.00146896
8,1530.42,0.12747,0.97653,1,0.05861,0.00143595,0.00143595,0.00143595
9,1718.7,0.11854,0.98195,1,0.04802,0.00140295,0.00140295,0.00140295
10,1901.35,0.10778,0.97563,1,0.06639,0.00136994,0.00136994,0.00136994
11,2081.4,0.09487,0.98466,1,0.03574,0.00133693,0.00133693,0.00133693
12,2272.86,0.09377,0.98556,1,0.04678,0.00130393,0.00130393,0.00130393
13,2465.93,0.10515,0.98375,1,0.0347,0.00127092,0.00127092,0.00127092
14,2659.86,0.09807,0.98827,1,0.03721,0.00123791,0.00123791,0.00123791
15,2851.07,0.09441,0.94856,1,0.12749,0.00120491,0.00120491,0.00120491
16,3044.69,0.10056,0.98466,1,0.0384,0.0011719,0.0011719,0.0011719
17,3238.41,0.07518,0.98917,1,0.03042,0.00113889,0.00113889,0.00113889
18,3432.63,0.08693,0.99007,1,0.03001,0.00110589,0.00110589,0.00110589
19,3625.54,0.0709,0.98736,1,0.02668,0.00107288,0.00107288,0.00107288
20,3817.42,0.061,0.98556,1,0.04042,0.00103987,0.00103987,0.00103987
21,4010.53,0.07283,0.99007,1,0.02583,0.00100687,0.00100687,0.00100687
22,4204.18,0.07418,0.98646,1,0.03776,0.000973861,0.000973861,0.000973861
23,4399.07,0.05605,0.99188,1,0.02116,0.000940855,0.000940855,0.000940855
24,4587.33,0.06365,0.98736,1,0.02487,0.000907848,0.000907848,0.000907848
25,4779.14,0.06022,0.98827,1,0.02942,0.000874842,0.000874842,0.000874842
26,4977.09,0.06473,0.98736,1,0.02822,0.000841835,0.000841835,0.000841835
27,5158.98,0.05883,0.99007,1,0.02796,0.000808828,0.000808828,0.000808828
28,5389.59,0.06078,0.99278,1,0.01876,0.000775822,0.000775822,0.000775822
29,5568.16,0.05149,0.99278,1,0.01997,0.000742815,0.000742815,0.000742815
30,5747.62,0.04601,0.99368,1,0.0144,0.000709809,0.000709809,0.000709809
31,5941.34,0.0488,0.99188,1,0.01858,0.000676802,0.000676802,0.000676802
32,6121.22,0.04761,0.97202,1,0.07819,0.000643795,0.000643795,0.000643795
33,6299.65,0.05202,0.98827,1,0.03232,0.000610789,0.000610789,0.000610789
34,6484.19,0.04554,0.99278,1,0.01576,0.000577782,0.000577782,0.000577782
35,6661.59,0.03554,0.99007,1,0.02395,0.000544776,0.000544776,0.000544776
36,6838.91,0.0405,0.98827,1,0.03174,0.000511769,0.000511769,0.000511769
37,7017.4,0.0356,0.99007,1,0.02452,0.000478762,0.000478762,0.000478762
38,7193.06,0.03853,0.99097,1,0.02027,0.000445756,0.000445756,0.000445756
39,7376.66,0.03366,0.98827,1,0.02446,0.000412749,0.000412749,0.000412749
40,7552.51,0.0333,0.99278,1,0.01994,0.000379743,0.000379743,0.000379743
41,7740.22,0.03735,0.99278,1,0.01678,0.000346736,0.000346736,0.000346736
42,7935.22,0.0307,0.99458,1,0.01486,0.000313729,0.000313729,0.000313729
43,8142.82,0.02967,0.99458,1,0.01992,0.000280723,0.000280723,0.000280723
44,8352.68,0.03063,0.99278,1,0.01667,0.000247716,0.000247716,0.000247716
45,8563.09,0.02419,0.99368,1,0.01831,0.00021471,0.00021471,0.00021471
46,8774.4,0.02351,0.99188,1,0.02107,0.000181703,0.000181703,0.000181703
47,8980.6,0.02632,0.99458,1,0.01583,0.000148696,0.000148696,0.000148696
48,9184.67,0.02293,0.99368,1,0.01742,0.00011569,0.00011569,0.00011569
49,9389.76,0.02195,0.99368,1,0.01647,8.26832e-05,8.26832e-05,8.26832e-05
50,9599.01,0.02595,0.99278,1,0.01524,4.96766e-05,4.96766e-05,4.96766e-05
